"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006310","DNA recombination","6/108","153/17420",0.0392156862745098,6.32534495279593,5.22558457686751,0.00038113948575573,0.00543123767201915,0.00424602760447173,"LOC104420611/LOC104421925/LOC104436127/LOC104444824/LOC104453362/LOC104455368",6
"GO:0005976","polysaccharide metabolic process","7/108","223/17420",0.031390134529148,5.06311243979405,4.82319468593155,0.000478564005748742,0.00654675559864279,0.00511811610358655,"LOC104424824/LOC104433548/LOC104440819/LOC104441382/LOC104445133/LOC104450842/LOC104456837",7
"GO:0044786","cell cycle DNA replication","3/108","28/17420",0.107142857142857,17.281746031746,6.81012516659526,0.000678170796941162,0.00892055432899528,0.00697390212239089,"LOC104444824/LOC104453362/LOC104454390",3
"GO:0006261","DNA-templated DNA replication","5/108","115/17420",0.0434782608695652,7.01288244766506,5.10970346803374,0.000745796633586872,0.00944675735876704,0.00738527660549963,"LOC104420611/LOC104436127/LOC104444824/LOC104453362/LOC104454390",5
"GO:0000278","mitotic cell cycle","7/108","243/17420",0.0288065843621399,4.64639536655998,4.52108945943385,0.000795595171298917,0.00971762673515106,0.00759703659811748,"LOC104444824/LOC104445133/LOC104449185/LOC104450842/LOC104453153/LOC104453362/LOC104454390",7
"GO:0000280","nuclear division","5/108","120/17420",0.0416666666666667,6.72067901234568,4.96666670710019,0.000903746301394237,0.0106579736233389,0.00833218005641147,"LOC104421925/LOC104437008/LOC104455368/LOC120286510/LOC120286603",5
"GO:0006260","DNA replication","5/108","131/17420",0.0381679389312977,6.15634718688154,4.6788888443292,0.00133751670124416,0.0152476903941834,0.0119203242847725,"LOC104420611/LOC104436127/LOC104444824/LOC104453362/LOC104454390",5
"GO:0048285","organelle fission","5/108","144/17420",0.0347222222222222,5.6005658436214,4.37845373113846,0.00202910346948014,0.02238559311491,0.017500586799591,"LOC104421925/LOC104437008/LOC104455368/LOC120286510/LOC120286603",5
"GO:0071554","cell wall organization or biogenesis","7/108","292/17420",0.023972602739726,3.86669203450025,3.90183593243694,0.00228273895760513,0.0243967726094049,0.0190728847115692,"LOC104422490/LOC104424824/LOC104433548/LOC104440819/LOC104441382/LOC104445133/LOC104450842",7
"GO:0010410","hemicellulose metabolic process","4/108","90/17420",0.0444444444444444,7.16872427983539,4.63411917429533,0.00237161180799016,0.0245785223737162,0.019214972862185,"LOC104424824/LOC104433548/LOC104440819/LOC104441382",4
