"gene","meta.logFC.mean","meta.logFC.weighted","meta.P.Value","meta.adj.P.Val","heterogeneity.variance","direction"
"LOC104420611",-1.54633546786011,-1.84068081168311,2.55351295663786e-15,1.92381379241528e-13,0.212047790082165,"Down"
"LOC104440761",-1.37747903908031,-1.44614560155438,2.60697463616566e-09,5.94571995889449e-08,0.00420264293998976,"Down"
"LOC104441243",-1.74048510669482,-1.7980258299316,2.24265050974282e-14,1.39884021678633e-12,0.147431874759785,"Down"
"LOC104441580",-1.31057636326315,-1.67821356173029,1.2847756192258e-10,3.88051428865486e-09,0.138100377641191,"Down"
"LOC104449839",-1.53292261259384,-1.69852903744827,2.94486657281823e-12,1.24384671416626e-10,0.105343362614379,"Down"
